Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","GJM1555C1H120FB01D","Multi-Layer Ceramic Capacitor 12pF C0G  ±1% 0402 Paper T/R","C1, C12","CMP-06035-011502-1","New From Design","Up to date","2","Murata","GJM1555C1H120FB01D","Volume Production","Newark","66AH5916","0.023","0.046"
"","GRM21BR61E106KA73L","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 10%, 25V","C2","CMP-2007-03541-2","New From Design","Up to date","1","Murata","GRM21BR61E106KA73L","Volume Production","Newark","11AC3192","0.06","0.06"
"","GRM55DR72E105KW01L","Chip Multilayer Ceramic Capacitors for General Purpose, 2220, 1.0uF, X7R, 15%, 10%, 250V","C3","CMP-2000-06370-2","New From Design","Up to date","1","Kyocera AVX","CB042D0474JBC","Volume Production","Digi-Key","478-4537-1-ND","1.01","1.01"
"","GRM31A5C3A101JW01D","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 100pF, C0G, 30ppm/°C, 5%, 1kV","C4, C5, C6, C9, C10","CMP-06035-024306-1","New From Design","Up to date","5","Murata","GRM31A5C3A101JW01D","Volume Production","Arrow Electronics","GRM31A5C3A101JW01D","0.1865","1.87"
"","GRM155R61H104KE19D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X5R, 15%, 10%, 50V","C7, C8","CMP-2008-04108-2","New From Design","Up to date","2","Murata","GRM155R61H104KE19D","Volume Production","Newark","03AC2572","0.01","0.02"
"","GJM1555C1H2R7BB01D","Multi-Layer Ceramic Capacitor 2.7pF C0G  ±0.1pF 0402 Paper T/R","C11, C13","CMP-2008-03840-2","New From Design","Up to date","2","Murata","GJM1555C1H2R7BB01D","Volume Production","Arrow Electronics","GJM1555C1H2R7BB01D","0.1383","0.2766"
"","BAV99,215","DIODE ARRAY GP 100V 215MA SOT23","D1","CMP-14399-000006-1","New From Design","Up to date","1","Nexperia","BAV99,215","Volume Production","Newark","11N8491","0.019","0.019"
"","1N5819HW-7-F","DIODE SCHOTTKY 40V 1A SOD123","D2, D3","CMP-0303-00003-3","New From Design","Up to date","2","Diodes","1N5819HW-7-F","Volume Production","Newark","82AC0841","0.028","0.056"
"","LTST-C190AKT","LED Uni-Color Orange, 100 mW, 30 mA, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel","DS1","","Unknown server","","1","Vishay Lite-On","LTST-C190AKT","Volume Production","Arrow Electronics","LTST-C190AKT","0.1733","0.1733"
"","BFCN-2275+","Filter","FL1","","Not managed","","1","","","","","","",""
"","GRF2071W","Integrated Circuit","IC1, IC3","","Not managed","","2","","","","","","",""
"","TPS7B8850QKVURQ1R2","Integrated Circuit","IC2","","Not managed","","1","","","","","","",""
"","694106301002","Connector","J1","","Not managed","","1","","","","","","",""
"","10164359-00011LF","Connector","J2","","Not managed","","1","","","","","","",""
"","LQW15AN8N2J00D","Wire Wound RF Inductor 8.2nH ±5% 540mA 0.14O 0402 (1005)","L1","CMP-06042-014403-1","New From Design","Up to date","1","Murata","LQW15AN8N2J00D","Volume Production","Arrow Electronics","LQW15AN8N2J00D","0.1319","0.1319"
"","AISC-0402-2N0J-T","Inductor","L2, L7","","Not managed","","2","","","","","","",""
"","LQW2BANR10J00L","Wire Wound RF Inductor 100nH ±5% 1050mA 0.35O 0805 (2015)","L3","CMP-06042-012426-1","New From Design","Up to date","1","Murata","LQW2BANR10J00L","Volume Production","Digi-Key","490-10550-1-ND","0.41","0.41"
"","LQW2UAS47NJ00L","Wire Wound RF Inductor 47nH ±5% 1000mA 0.16O 1008 (2520)","L4","CMP-06042-009410-1","New From Design","Up to date","1","Murata","LQW2UAS47NJ00L","Volume Production","Digi-Key","490-5687-1-ND","0.22","0.22"
"","LQG15HN3N3S02D","Multilayer type RF Inductor 3.3nH ±0.3nH 0.12O 800mA 0402","L5, L6","CMP-06042-003843-1","New From Design","Up to date","2","Murata","LQG15HN3N3S02D","Volume Production","Arrow Electronics","LQG15HN3N3S02D","0.0946","0.1892"
"","61300211121","","P1, P2","CMP-1712-00002-5","Released","Up to date","2","Wurth Electronics","61300211121","Volume Production","Mouser","710-61300211121","0.13","0.26"
"","RG1005P-1071-W-T5","Automotive Metal Thin Film Chip Resistor, 0402, 1.07kO, 0.05%, 25ppm/°C, 0.0625W, 75V","R1, R5","CMP-28537-004894-1","New From Design","Up to date","2","Susumu","RG1005P-1071-W-T5","Volume Production","","","",""
"","RC0603FR-075K1L","","R2, R3","CMP-2000-04091-1","Released","Up to date","2","Yageo","RC0603FR-075K1L","Volume Production","Mouser","603-RC0603FR-075K1L","0.011","0.11"
"","ERJ-2RKF2000X","RES SMD 200 OHM 1% 1/10W 0402","R4","CMP-2002-00757-2","Released","Up to date","1","Panasonic","ERJ-2RKF2000X","Volume Production","Newark","73T6485","0.004","0.004"
"","RC1206JR-070RL","RES SMD 0 OHM JUMPER 1/4W 1206","R6, R7, R8, R9","CMP-2100-03681-2","New From Design","Up to date","4","Yageo","RC1206JR-070RL","Volume Production","Newark","75X0171","0.007","0.028"
"","S-Band Hairpin Filter",":D","RF","","Unknown server","","1","","","","","","",""
"","0732512200","CONN SMA JACK R/A 50 OHM PCB","SMA 1, SMA 2","","Not managed","","2","Molex","73251-2200","Volume Production","Digi-Key","WM9352-ND","6.88","13.76"
